theme1,theme2,theme3,theme4,PopDens,Total
0.173390727,0.175383894,0.225721272,0.169511998,1275.608676,568
0.005368087,0.004467596,0.005309991,0.002268656,753.5464034,9
0.223420713,0.279817588,0.411369119,0.199876193,1217.383856,575
0.098932624,0.067859957,0.028576367,0.092270482,122.4705519,64
0.346763681,0.480971835,0.508065794,0.252362355,2352.070841,751
0.335992647,0.376746966,0.34709244,0.262149233,98.35918185,388
0.330189477,0.263035714,0.303478291,0.301738547,85.82894604,87
0.203294283,0.390745635,0.284947685,0.17702543,508.141095,357
0.015867588,0.016224449,0.018821145,0.006311615,1000.103184,0
0.321298489,0.39014963,0.371447258,0.227416827,2146.346722,320
0.180688307,0.37130117,0.094135673,0.148146118,106.9128463,146
0.369586303,0.487522704,0.459864855,0.255685681,3212.70253,268
0.522805217,0.164737216,0.47814461,0.587366737,476.1631276,59
0.289832061,0.26255644,0.190955222,0.23297051,106.9847575,274
0.4557288,0.467552111,0.079639439,0.409583332,71.97403756,241
0.36688408,0.336742279,0.409237944,0.231841164,560.9118624,333
0.125998559,0.136508275,0.01691337,0.165927683,72.12151878,104
0.574524696,0.656360074,0.558341575,0.286828759,3535.319258,559
0.537241429,0.563400043,0.580649447,0.408009663,4773.245411,689
0.156675941,0.098198331,0.131937038,0.165307134,127.7123594,55
0.220758135,0.268511127,0.237374682,0.239479075,838.4802464,514
0.006864434,0.003359978,0.000527516,0.006728355,162.4181238,4
0.228327351,0.29841384,0.014648191,0.193600106,46.12677401,59
0.394856614,0.371548836,0.393743099,0.532859447,292.5423386,189
0.259822805,0.259411028,0.185439839,0.216883635,200.8092229,361
0.330092828,0.270194878,0.239593657,0.199307401,57.81710657,85
0.253970825,0.328865025,0.226227458,0.311414942,360.8061308,690
0.052046776,0.056454843,0.044522139,0.057061145,238.2560632,62
0.138676549,0.17195327,0.125468592,0.155811647,103.5256944,92
0.175379381,0.141996866,0.163136981,0.191955158,341.6634213,60
0.235117445,0.1583386,0.363574887,0.054857752,295.211737,46
0.175981927,0.175232522,0.10763573,0.160701875,220.0951162,305
0.20396299,0.294784937,0.304118486,0.168896013,2994.754618,359
0.254895759,0.173074544,0.517335338,0.098675767,4700.378935,317
0.28845192,0.184878832,0.218719381,0.25238663,3176.758387,280
0.390615092,0.285376911,0.156837593,0.282661886,201.7339844,462
0.559510375,0.358328245,0.547291577,0.597765541,2917.061656,348
0.360124074,0.544798022,0.337126228,0.500758941,3254.3777,414
0.368902896,0.426748387,0.227450862,0.35741319,3358.365341,411
0.581484308,0.516794681,0.632950024,0.635169446,6140.132518,447
0.3046119,0.359868677,0.329164159,0.357548511,3877.426068,285
0.188702829,0.269964438,0.296903258,0.231462355,4405.123585,527
0.333024588,0.310061517,0.538211642,0.151947655,3876.668007,288
0.186132131,0.287880538,0.254536045,0.308231005,4951.618736,528
0.248049573,0.488011037,0.212441337,0.370948092,4791.970393,242
0.279025817,0.311820123,0.026654953,0.229104105,104.6122024,137
0.190379734,0.294916736,0.074103399,0.185520456,859.2143361,1164
0.257324187,0.26386848,0.157337328,0.283740097,239.7641593,678
0.293381379,0.381627517,0.110039077,0.225757692,150.4121801,1020
0.02378964,0.137163553,0.066825647,0.071364091,1904.279042,181
0.035852546,0.075793502,0.022998232,0.03105568,21.57634572,32
0.208843068,0.18234588,0.144760783,0.155057779,540.3173907,369
0.04733478,0.041535586,0.047577754,0.024655586,34.12150254,7
0.267906612,0.459103897,0.2330353,0.542388845,53.61145129,67
0.307134725,0.431091317,0.019585441,0.270609464,37.05325547,112
0.1989789,0.30709163,0.05159913,0.308593997,203.7285885,462
0.244323214,0.381563981,0.141741073,0.188773078,251.346671,413
0.243381952,0.290087433,0.028792432,0.355228696,45.17711994,157
0.11221005,0.123873085,0.088794946,0.072664598,448.7120381,187
0.385394308,0.433399298,0.353364795,0.318236042,3702.174015,534
0.131572059,0.037973412,0.377447377,0.222609351,3758.114415,119
0.129314377,0.137003222,0.185939881,0.112411741,1755.327655,678
0.285947469,0.166730451,0.43626131,0.298050865,2921.23141,637
0.073351958,0.110838384,0.072842188,0.132618289,105.3240363,171
0.064445303,0.040691605,0.250210356,0.134958122,3155.747365,317
0.050610508,0.178638584,0.286406072,0.167035012,2486.560815,296
0.08245432,0.109543336,0.334510575,0.187959224,2235.956164,215
0.045201713,0.061963027,0.103626829,0.08236282,1129.156926,133
0.197118451,0.232448864,0.367305395,0.275949025,5221.786842,443
0.101167782,0.052609597,0.361386013,0.202523834,3203.949491,248
0.093846389,0.141801094,0.36752541,0.101389228,5619.112429,339
0.084702102,0.167634318,0.147606611,0.080666563,3023.441065,335
0.098930774,0.19408254,0.067769271,0.150830328,522.4458651,319
0.078856018,0.183911441,0.288944913,0.156412988,1677.202747,529
0.069492518,0.110356238,0.241431246,0.064070414,2562.760245,433
0.271563061,0.105523872,0.524379323,0.478809402,2177.873418,243
0.502124092,0.39809804,0.67938555,0.349752847,3955.995011,771
0.634981101,0.429888534,0.653010309,0.400813977,5260.012837,466
0.400970593,0.485761787,0.509959368,0.431567138,3039.985636,762
0.307045231,0.286154909,0.465321449,0.158410875,3780.488498,442
0.10363557,0.173738682,0.215703737,0.060808881,2199.301947,222
0.661482078,0.546143444,0.638088004,0.421294408,2808.654333,557
0.301412532,0.20667027,0.558144784,0.163627447,3297.203057,867
0.065277401,0.092496558,0.176897909,0.065315505,1540.947706,100
0.131618399,0.1189526,0.276767881,0.225367472,1760.186026,584
0.580905035,0.394890409,0.650153131,0.538227298,3581.43161,627
0.568406904,0.437414869,0.711444833,0.634413745,4665.85046,716
0.414153871,0.231360329,0.522386381,0.480048124,4399.909426,551
0.196455742,0.361098571,0.303558802,0.463884065,768.806034,114
0.242732704,0.206035734,0.376549657,0.217569923,1415.402843,409
0.252111389,0.311925024,0.268858989,0.3158204,1119.869916,557
0.10479938,0.127081798,0.146636974,0.104617874,575.7599632,626
0.425744247,0.241957333,0.569428857,0.444498156,2944.680085,545
0.147512776,0.31043072,0.367382186,0.241979208,3689.249056,424
0.076648193,0.164089484,0.117830312,0.152434261,2334.322325,243
0.075590267,0.144960193,0.077475957,0.093907528,521.5681336,208
0.257068453,0.284774035,0.298035943,0.343214376,4221.201526,517
0.244622348,0.181823582,0.45830274,0.347169238,4049.407451,368
0.089703584,0.099509756,0.31798628,0.117511897,2950.227866,196
0.276251742,0.182080906,0.338618359,0.084212855,2112.765481,314
0.086800282,0.13968992,0.219988523,0.34943789,3372.085076,381
0.048635445,0.048397662,0.138769977,0.041186966,3244.488089,144
0.077520898,0.196824288,0.126355783,0.102015158,3133.154308,177
0.295856752,0.343918922,0.135168109,0.251804045,323.1852263,538
0.081027018,0.083089426,0.059909676,0.08795201,1859.632229,172
0.283331554,0.374594383,0.213171919,0.299256275,981.7034859,129
0.011887797,0.008829314,0.009744545,0.01189089,55.6534316,7
0.170731925,0.215123438,0.210259871,0.19542203,1302.049536,795
0.07042783,0.067391138,0.053641354,0.067587712,53.56801054,27
0.165077194,0.195083814,0.011926442,0.08791085,36.52313602,56
0.134831654,0.205784184,0.098831935,0.107753779,480.5387693,79
0.015244946,0.026618605,0.013627573,0.031306586,58.87173109,0
0.277853698,0.318314464,0.169011307,0.230532454,158.4212911,140
0.289482951,0.300674445,0.04447987,0.219374252,180.0257848,373
0.20215109,0.135429123,0.178015636,0.260859597,164.168728,133
0.158422327,0.207638797,0.095583254,0.132111602,144.8263749,425
0.223967941,0.135509185,0.082654466,0.361378265,70.78621355,151
0.020552345,0.117293178,0.055172612,0.047791821,1138.888115,208
0.102844631,0.094920741,0.040751593,0.126293111,43.63953604,88
0.21624715,0.08426683,0.284790937,0.532139172,2081.833476,248
0.423229178,0.391953548,0.412415866,0.458240348,2493.819374,294
0.734399119,0.564907546,0.660652186,0.550906581,3881.877578,485
0.688792419,0.462605443,0.729948869,0.492889627,2604.279521,528
0.28307049,0.214349575,0.358683352,0.32370659,2601.453868,429
0.145922123,0.220619799,0.137988858,0.175527334,880.1182866,749
0.188530943,0.287241194,0.077721327,0.201076722,2697.486088,212
0.458249766,0.260755785,0.467232673,0.395820344,5245.634576,402
0.559682245,0.270931644,0.543739644,0.254423735,2705.201655,290
0.618595392,0.660741642,0.545007114,0.462876303,3515.29766,771
0.505044267,0.436832797,0.477371773,0.442425704,2789.587103,443
0.650599231,0.536248194,0.666585837,0.501979309,4408.89195,310
0.373107517,0.349633108,0.282610016,0.336537318,4023.88151,956
0.238147831,0.356708228,0.236370228,0.274598481,2067.105885,199
0.785196724,0.7040821,0.739116383,0.594639856,2710.174215,925
0.436070871,0.434373806,0.432339836,0.495875063,1742.557781,247
0.229908628,0.272528047,0.394711556,0.135506453,3771.105522,430
0.079223912,0.243943429,0.065847369,0.151275314,305.6976424,332
0.176142149,0.064248714,0.227736815,0.204386345,900.0180648,4
0.238813899,0.351683805,0.048775984,0.328126236,24.7230648,64
0.204153448,0.415327162,0.261259711,0.499137312,3611.31694,485
0.454487005,0.63775977,0.438851062,0.445408645,5557.730142,1005
0.2352128,0.283732259,0.1040078,0.234133099,26.04351695,80
0.111208783,0.156045795,0.022189412,0.150035712,17.33228991,34
0.133645568,0.225456723,0.004615152,0.37974587,24.48060115,26
0.106923699,0.075529204,0.015288951,0.138046169,28.93684371,41
0.002356171,0.001322928,0.001058674,0.004056683,53.82191107,0
0.165024542,0.07669069,0.350876435,0.273813527,3983.003402,135
0.652019798,0.586217784,0.519842837,0.477488324,3376.181033,142
0.727103089,0.389396609,0.819822292,0.596170531,4171.088552,757
0.87308932,0.744321826,0.782350782,0.509042471,2528.492523,381
0.088534244,0.113486033,0.130833527,0.22700315,4553.686154,287
0.601589038,0.458877447,0.570420521,0.505590886,1758.807626,345
0.145574882,0.067114497,0.310189516,0.263053629,5157.483063,265
0.459495041,0.31634839,0.480499401,0.337471522,1451.311659,198
0.203405405,0.148434763,0.415607588,0.354843831,7763.916073,212
0.205724474,0.056952361,0.421017687,0.254501274,9456.961387,539
0.692575136,0.645071884,0.653428835,0.531968603,3481.037657,941
0.68276013,0.469297548,0.720003994,0.408350472,2919.056042,979
0.14357462,0.102051756,0.286680191,0.213483577,3180.667099,318
0.155417665,0.042020037,0.29804718,0.393718578,10453.12513,164
0.305958867,0.128971231,0.37467371,0.391307125,3697.065744,322
0.674010068,0.506658186,0.684861785,0.426559158,4048.059432,166
0.734635599,0.568737773,0.7518449,0.469968397,5933.077687,404
0.467534068,0.399090846,0.313192208,0.248058061,177.0845954,683
0.361500565,0.380808562,0.117984983,0.526513778,178.1970185,460
0.282493566,0.355306068,0.277250975,0.330838947,239.2108076,346
0.021409963,0.206641204,0.010975663,0.192437806,4485.243255,208
0.12521316,0.024784262,0.103178769,0.197117547,3600.328011,42
0.680830345,0.554998994,0.701953459,0.509285487,6509.146216,1115
0.186660091,0.152790912,0.281524435,0.249640428,2601.471956,239
0.073073628,0.261909822,0.130746776,0.312216819,3725.403189,273
0.55566052,0.664380696,0.61859114,0.395424776,3528.38454,545
0.605091756,0.557956712,0.663301549,0.480547083,4648.114113,189
0.271541548,0.325084908,0.072347353,0.237227071,40.22329696,47
0.3005966,0.420318647,0.053947836,0.226087748,33.63263848,92
0.170048393,0.149237214,0.032881167,0.101322168,56.58988331,80
0.257976827,0.200636993,0.402219528,0.200484242,2989.477706,431
0.510867883,0.251888494,0.560223367,0.707032516,1374.607437,194
0.634197728,0.498707369,0.694918101,0.460832059,2952.406206,340
0.312078391,0.34631814,0.34782745,0.432077912,4974.185517,345
0.361789538,0.192393548,0.468681149,0.338362488,6933.963608,194
0.389286045,0.180698156,0.140568757,0.5134315,120.2615305,107
0.043767209,0.007542212,0.074187242,0.221544201,9368.871559,127
0.065749369,0.004447114,0.076554965,0.261190802,3179.026197,12
0.09573307,0.167290451,0.337649932,0.389357542,2845.484085,98
0.1410358,0.25087228,0.299772358,0.251307185,4880.670992,307
0.302363394,0.265095605,0.498039639,0.243543463,3417.476842,150
0.02440216,0.075686698,0.026362333,0.124431012,5864.334661,61
0.284662639,0.36686152,0.132902521,0.305638417,689.2239975,342
0.319697333,0.256195623,0.399488959,0.213160599,4339.011077,482
0.418374409,0.46033339,0.443841665,0.350961996,1060.027929,507
0.195347489,0.234408833,0.052473983,0.170656342,40.70487412,99
0.062707004,0.057153708,0.059243841,0.063605418,420.0307736,114
0.727839715,0.520671804,0.735763658,0.648242498,3458.107913,237
0.302743643,0.100290917,0.36312203,0.473618843,11520.82234,187
0.06577407,0.252049889,0.046666911,0.158479749,5529.994503,114
0.16604236,0.026574377,0.13018168,0.222929242,2177.847166,17
0.328415752,0.486019105,0.26694001,0.134166218,5194.83829,271
0.04708747,0.046638328,0.109607217,0.08845231,517.6181854,111
0.173391784,0.213630047,0.115768815,0.120178578,908.6547541,603
0.286052933,0.564027381,0.284801188,0.366372059,3790.958242,617
0.417255085,0.089384409,0.21204078,0.331064995,4837.135779,386
0.311498129,0.141911608,0.232921061,0.250305373,2491.02303,318
0.267159631,0.221301209,0.426177937,0.424321603,660.4489565,335
0.346760021,0.25418682,0.250165922,0.232333271,3803.536714,487
0.177727671,0.229048884,0.215371564,0.210314789,2651.526133,449
0.209091578,0.304559062,0.027073362,0.09668076,32.83720049,51
0.027806711,0.103265203,0.056365878,0.161401365,473.7154186,194
0.233535404,0.346386655,0.095582128,0.233480623,49.57140398,283
0.058583842,0.202610783,0.245520104,0.238766582,4194.493659,615
0.175450721,0.145616964,0.152000723,0.17258276,115.8169516,196
0.095429879,0.163629975,0.087970244,0.125245369,77.90135776,87
0.079478631,0.104556428,0.042770061,0.150653447,90.11122998,87
0.17705161,0.321698609,0.05508399,0.318991394,115.2818163,309
0.11778511,0.141729351,0.059295415,0.099532742,20.80659207,29
